Load,Time Stamp
1507.9,2018-10-24 00:00:00
1482.9,2018-10-24 01:00:00
1456.7,2018-10-24 02:00:00
1434.6,2018-10-24 03:00:00
1482.2,2018-10-24 04:00:00
1600.3,2018-10-24 05:00:00
1788.2,2018-10-24 06:00:00
1883.6,2018-10-24 07:00:00
1887.6,2018-10-24 08:00:00
1895.2,2018-10-24 09:00:00
1906.9,2018-10-24 10:00:00
1909.3,2018-10-24 11:00:00
1903.3,2018-10-24 12:00:00
1888.9,2018-10-24 13:00:00
1856.7,2018-10-24 14:00:00
1865.0,2018-10-24 15:00:00
1890.8,2018-10-24 16:00:00
1919.4,2018-10-24 17:00:00
1984.2,2018-10-24 18:00:00
1993.8,2018-10-24 19:00:00
1943.0,2018-10-24 20:00:00
1834.0,2018-10-24 21:00:00
1708.7,2018-10-24 22:00:00
1600.1,2018-10-24 23:00:00
