Load Forecast,Time Stamp
1533,2020-01-13 00:00:00
1507,2020-01-13 01:00:00
1492,2020-01-13 02:00:00
1493,2020-01-13 03:00:00
1533,2020-01-13 04:00:00
1650,2020-01-13 05:00:00
1855,2020-01-13 06:00:00
1972,2020-01-13 07:00:00
1960,2020-01-13 08:00:00
1950,2020-01-13 09:00:00
1940,2020-01-13 10:00:00
1917,2020-01-13 11:00:00
1889,2020-01-13 12:00:00
1872,2020-01-13 13:00:00
1855,2020-01-13 14:00:00
1849,2020-01-13 15:00:00
1906,2020-01-13 16:00:00
2037,2020-01-13 17:00:00
2067,2020-01-13 18:00:00
2028,2020-01-13 19:00:00
1977,2020-01-13 20:00:00
1878,2020-01-13 21:00:00
1748,2020-01-13 22:00:00
1635,2020-01-13 23:00:00
1558,2020-01-14 00:00:00
1524,2020-01-14 01:00:00
1505,2020-01-14 02:00:00
1503,2020-01-14 03:00:00
1543,2020-01-14 04:00:00
1660,2020-01-14 05:00:00
1861,2020-01-14 06:00:00
1967,2020-01-14 07:00:00
1949,2020-01-14 08:00:00
1930,2020-01-14 09:00:00
1916,2020-01-14 10:00:00
1898,2020-01-14 11:00:00
1876,2020-01-14 12:00:00
1873,2020-01-14 13:00:00
1869,2020-01-14 14:00:00
1863,2020-01-14 15:00:00
1905,2020-01-14 16:00:00
2018,2020-01-14 17:00:00
2014,2020-01-14 18:00:00
1974,2020-01-14 19:00:00
1910,2020-01-14 20:00:00
1796,2020-01-14 21:00:00
1667,2020-01-14 22:00:00
1565,2020-01-14 23:00:00
1508,2020-01-15 00:00:00
1475,2020-01-15 01:00:00
1449,2020-01-15 02:00:00
1445,2020-01-15 03:00:00
1483,2020-01-15 04:00:00
1602,2020-01-15 05:00:00
1798,2020-01-15 06:00:00
1911,2020-01-15 07:00:00
1905,2020-01-15 08:00:00
1896,2020-01-15 09:00:00
1898,2020-01-15 10:00:00
1883,2020-01-15 11:00:00
1866,2020-01-15 12:00:00
1857,2020-01-15 13:00:00
1843,2020-01-15 14:00:00
1839,2020-01-15 15:00:00
1883,2020-01-15 16:00:00
2008,2020-01-15 17:00:00
2038,2020-01-15 18:00:00
1996,2020-01-15 19:00:00
1943,2020-01-15 20:00:00
1848,2020-01-15 21:00:00
1726,2020-01-15 22:00:00
1626,2020-01-15 23:00:00
1563,2020-01-16 00:00:00
1526,2020-01-16 01:00:00
1501,2020-01-16 02:00:00
1498,2020-01-16 03:00:00
1532,2020-01-16 04:00:00
1640,2020-01-16 05:00:00
1829,2020-01-16 06:00:00
1948,2020-01-16 07:00:00
1952,2020-01-16 08:00:00
1958,2020-01-16 09:00:00
1968,2020-01-16 10:00:00
1963,2020-01-16 11:00:00
1950,2020-01-16 12:00:00
1949,2020-01-16 13:00:00
1934,2020-01-16 14:00:00
1934,2020-01-16 15:00:00
1980,2020-01-16 16:00:00
2097,2020-01-16 17:00:00
2115,2020-01-16 18:00:00
2087,2020-01-16 19:00:00
2037,2020-01-16 20:00:00
1944,2020-01-16 21:00:00
1825,2020-01-16 22:00:00
1725,2020-01-16 23:00:00
1681,2020-01-17 00:00:00
1651,2020-01-17 01:00:00
1635,2020-01-17 02:00:00
1641,2020-01-17 03:00:00
1684,2020-01-17 04:00:00
1794,2020-01-17 05:00:00
1986,2020-01-17 06:00:00
2096,2020-01-17 07:00:00
2096,2020-01-17 08:00:00
2088,2020-01-17 09:00:00
2077,2020-01-17 10:00:00
2049,2020-01-17 11:00:00
2022,2020-01-17 12:00:00
2005,2020-01-17 13:00:00
1987,2020-01-17 14:00:00
1981,2020-01-17 15:00:00
2019,2020-01-17 16:00:00
2122,2020-01-17 17:00:00
2142,2020-01-17 18:00:00
2107,2020-01-17 19:00:00
2059,2020-01-17 20:00:00
1988,2020-01-17 21:00:00
1890,2020-01-17 22:00:00
1800,2020-01-17 23:00:00
1732,2020-01-18 00:00:00
1680,2020-01-18 01:00:00
1650,2020-01-18 02:00:00
1638,2020-01-18 03:00:00
1644,2020-01-18 04:00:00
1681,2020-01-18 05:00:00
1750,2020-01-18 06:00:00
1832,2020-01-18 07:00:00
1900,2020-01-18 08:00:00
1950,2020-01-18 09:00:00
1969,2020-01-18 10:00:00
1965,2020-01-18 11:00:00
1944,2020-01-18 12:00:00
1918,2020-01-18 13:00:00
1898,2020-01-18 14:00:00
1892,2020-01-18 15:00:00
1934,2020-01-18 16:00:00
2028,2020-01-18 17:00:00
2029,2020-01-18 18:00:00
1981,2020-01-18 19:00:00
1932,2020-01-18 20:00:00
1866,2020-01-18 21:00:00
1774,2020-01-18 22:00:00
1688,2020-01-18 23:00:00
