"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"02/03/2020","01/31/2020","Actual","ALB",36,17,32,15
"02/03/2020","01/31/2020","Actual","ART",34,11,29,10
"02/03/2020","01/31/2020","Actual","BGM",33,23,29,20
"02/03/2020","01/31/2020","Actual","BUF",33,26,30,24
"02/03/2020","01/31/2020","Actual","ELM",38,26,33,24
"02/03/2020","01/31/2020","Actual","ELZ",32,27,29,23
"02/03/2020","01/31/2020","Actual","FOK",41,19,36,18
"02/03/2020","01/31/2020","Actual","FRG",44,32,38,29
"02/03/2020","01/31/2020","Actual","GFL",31,10,27,9
"02/03/2020","01/31/2020","Actual","HPN",39,25,35,23
"02/03/2020","01/31/2020","Actual","IAG",32,25,29,23
"02/03/2020","01/31/2020","Actual","ISP",42,30,37,28
"02/03/2020","01/31/2020","Actual","ITH",35,26,31,23
"02/03/2020","01/31/2020","Actual","JFK",43,32,39,29
"02/03/2020","01/31/2020","Actual","LGA",42,33,38,29
"02/03/2020","01/31/2020","Actual","MSS",28,2,24,1
"02/03/2020","01/31/2020","Actual","MSV",33,16,31,15
"02/03/2020","01/31/2020","Actual","NYC",43,34,39,30
"02/03/2020","01/31/2020","Actual","PLB",33,4,28,3
"02/03/2020","01/31/2020","Actual","POU",37,18,33,17
"02/03/2020","01/31/2020","Actual","ROC",32,24,29,22
"02/03/2020","01/31/2020","Actual","SLK",30,-6,27,-7
"02/03/2020","01/31/2020","Actual","SWF",36,19,34,19
"02/03/2020","01/31/2020","Actual","SYR",37,20,32,18
"02/03/2020","01/31/2020","Actual","UCA",33,17,29,16
"02/03/2020","02/01/2020","Actual","ALB",39,32,35,30
"02/03/2020","02/01/2020","Actual","ART",32,22,28,21
"02/03/2020","02/01/2020","Actual","BGM",31,28,29,26
"02/03/2020","02/01/2020","Actual","BUF",33,30,30,28
"02/03/2020","02/01/2020","Actual","ELM",36,25,32,24
"02/03/2020","02/01/2020","Actual","ELZ",31,25,29,23
"02/03/2020","02/01/2020","Actual","FOK",40,28,39,28
"02/03/2020","02/01/2020","Actual","FRG",43,34,40,33
"02/03/2020","02/01/2020","Actual","GFL",34,28,32,27
"02/03/2020","02/01/2020","Actual","HPN",38,33,37,32
"02/03/2020","02/01/2020","Actual","IAG",32,28,29,27
"02/03/2020","02/01/2020","Actual","ISP",41,33,40,33
"02/03/2020","02/01/2020","Actual","ITH",34,24,32,23
"02/03/2020","02/01/2020","Actual","JFK",42,36,41,36
"02/03/2020","02/01/2020","Actual","LGA",41,37,39,35
"02/03/2020","02/01/2020","Actual","MSS",31,15,28,14
"02/03/2020","02/01/2020","Actual","MSV",36,31,35,29
"02/03/2020","02/01/2020","Actual","NYC",43,37,40,36
"02/03/2020","02/01/2020","Actual","PLB",27,22,25,21
"02/03/2020","02/01/2020","Actual","POU",40,32,37,31
"02/03/2020","02/01/2020","Actual","ROC",33,28,29,27
"02/03/2020","02/01/2020","Actual","SLK",27,22,24,21
"02/03/2020","02/01/2020","Actual","SWF",39,32,38,32
"02/03/2020","02/01/2020","Actual","SYR",33,30,30,28
"02/03/2020","02/01/2020","Actual","UCA",32,28,30,27
"02/03/2020","02/02/2020","Actual","ALB",37,29,32,27
"02/03/2020","02/02/2020","Actual","ART",36,24,33,23
"02/03/2020","02/02/2020","Actual","BGM",31,25,31,25
"02/03/2020","02/02/2020","Actual","BUF",36,30,35,29
"02/03/2020","02/02/2020","Actual","ELM",35,26,34,26
"02/03/2020","02/02/2020","Actual","ELZ",33,27,33,26
"02/03/2020","02/02/2020","Actual","FOK",43,34,37,33
"02/03/2020","02/02/2020","Actual","FRG",44,37,37,35
"02/03/2020","02/02/2020","Actual","GFL",33,26,30,25
