Load,Time Stamp
286.5,2020-02-07 00:00:00
280.0,2020-02-07 01:00:00
276.7,2020-02-07 02:00:00
274.3,2020-02-07 03:00:00
283.8,2020-02-07 04:00:00
295.2,2020-02-07 05:00:00
331.8,2020-02-07 06:00:00
351.1,2020-02-07 07:00:00
350.4,2020-02-07 08:00:00
349.7,2020-02-07 09:00:00
346.2,2020-02-07 10:00:00
340.5,2020-02-07 11:00:00
338.5,2020-02-07 12:00:00
332.9,2020-02-07 13:00:00
335.9,2020-02-07 14:00:00
352.6,2020-02-07 15:00:00
369.2,2020-02-07 16:00:00
399.9,2020-02-07 17:00:00
414.0,2020-02-07 18:00:00
410.5,2020-02-07 19:00:00
395.4,2020-02-07 20:00:00
385.0,2020-02-07 21:00:00
349.8,2020-02-07 22:00:00
326.3,2020-02-07 23:00:00
