Load,Time Stamp
294.4,2020-01-17 00:00:00
288.2,2020-01-17 01:00:00
292.1,2020-01-17 02:00:00
294.7,2020-01-17 03:00:00
300.7,2020-01-17 04:00:00
322.0,2020-01-17 05:00:00
364.5,2020-01-17 06:00:00
385.3,2020-01-17 07:00:00
383.9,2020-01-17 08:00:00
373.5,2020-01-17 09:00:00
374.2,2020-01-17 10:00:00
373.1,2020-01-17 11:00:00
367.7,2020-01-17 12:00:00
370.7,2020-01-17 13:00:00
368.3,2020-01-17 14:00:00
380.2,2020-01-17 15:00:00
400.5,2020-01-17 16:00:00
436.6,2020-01-17 17:00:00
442.3,2020-01-17 18:00:00
438.9,2020-01-17 19:00:00
431.7,2020-01-17 20:00:00
413.8,2020-01-17 21:00:00
392.8,2020-01-17 22:00:00
370.1,2020-01-17 23:00:00
