Load,Time Stamp
276.9,2020-03-26 00:00:00
267.5,2020-03-26 01:00:00
261.7,2020-03-26 02:00:00
264.0,2020-03-26 03:00:00
266.8,2020-03-26 04:00:00
281.1,2020-03-26 05:00:00
304.5,2020-03-26 06:00:00
320.7,2020-03-26 07:00:00
317.3,2020-03-26 08:00:00
311.1,2020-03-26 09:00:00
299.7,2020-03-26 10:00:00
292.0,2020-03-26 11:00:00
290.1,2020-03-26 12:00:00
280.3,2020-03-26 13:00:00
271.4,2020-03-26 14:00:00
267.1,2020-03-26 15:00:00
272.8,2020-03-26 16:00:00
293.0,2020-03-26 17:00:00
306.5,2020-03-26 18:00:00
326.0,2020-03-26 19:00:00
322.0,2020-03-26 20:00:00
302.4,2020-03-26 21:00:00
275.5,2020-03-26 22:00:00
255.2,2020-03-26 23:00:00
