"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"07/04/2020 00:00",1309,1691,744,1166,1107,2649,709,331,6310,524,1711,18251
"07/04/2020 01:00",1230,1589,699,1090,1028,2462,665,303,6046,529,1613,17254
"07/04/2020 02:00",1173,1512,660,1035,968,2321,629,282,5814,523,1545,16462
"07/04/2020 03:00",1141,1466,631,999,933,2229,603,266,5635,516,1506,15925
"07/04/2020 04:00",1127,1443,613,978,908,2167,593,257,5492,515,1483,15576
"07/04/2020 05:00",1116,1437,592,967,893,2117,584,248,5401,509,1468,15332
"07/04/2020 06:00",1134,1432,591,958,892,2089,596,250,5394,506,1430,15272
"07/04/2020 07:00",1202,1510,613,1002,928,2214,637,272,5569,535,1485,15967
"07/04/2020 08:00",1309,1636,654,1076,1003,2415,700,308,5806,549,1591,17047
"07/04/2020 09:00",1369,1739,700,1168,1075,2662,748,347,6052,551,1716,18127
"07/04/2020 10:00",1422,1835,746,1242,1171,2912,798,382,6321,544,1828,19201
"07/04/2020 11:00",1483,1931,787,1311,1260,3127,824,415,6520,546,1868,20072
"07/04/2020 12:00",1502,1971,831,1365,1352,3286,841,445,6732,548,1913,20786
"07/04/2020 13:00",1532,1991,861,1396,1417,3461,840,454,6841,553,1948,21294
"07/04/2020 14:00",1581,2021,878,1428,1431,3600,841,457,6945,557,1990,21729
"07/04/2020 15:00",1601,2062,916,1454,1491,3698,860,456,6990,565,2041,22134
"07/04/2020 16:00",1654,2088,922,1503,1535,3747,876,457,6975,584,2077,22418
"07/04/2020 17:00",1698,2121,917,1521,1542,3699,909,459,6885,583,2093,22427
"07/04/2020 18:00",1690,2107,896,1505,1547,3618,911,452,6801,585,2044,22156
"07/04/2020 19:00",1660,2055,863,1460,1482,3386,897,430,6546,593,1991,21363
"07/04/2020 20:00",1625,1961,832,1376,1421,3195,877,412,6477,577,1902,20655
"07/04/2020 21:00",1604,1904,819,1327,1367,3084,860,398,6484,572,1857,20276
"07/04/2020 22:00",1522,1798,791,1251,1279,2897,799,372,6372,554,1777,19412
"07/04/2020 23:00",1426,1679,757,1168,1182,2666,727,349,6184,534,1700,18372
"07/05/2020 00:00",1337,1563,713,1079,1090,2478,654,327,5966,521,1632,17360
"07/05/2020 01:00",1261,1472,672,1001,1011,2305,615,301,5712,518,1535,16403
"07/05/2020 02:00",1204,1402,641,950,952,2180,581,281,5517,513,1471,15692
"07/05/2020 03:00",1171,1362,615,918,916,2100,558,266,5372,501,1434,15213
"07/05/2020 04:00",1153,1343,599,898,890,2047,549,255,5261,503,1413,14911
"07/05/2020 05:00",1131,1327,579,882,868,1992,537,246,5187,500,1391,14640
"07/05/2020 06:00",1129,1323,580,861,864,1982,544,248,5204,507,1342,14584
"07/05/2020 07:00",1178,1388,606,905,900,2116,581,269,5403,531,1384,15261
"07/05/2020 08:00",1263,1509,656,984,984,2370,641,306,5696,541,1487,16437
"07/05/2020 09:00",1322,1621,703,1089,1068,2644,698,348,6003,544,1622,17662
"07/05/2020 10:00",1388,1736,754,1189,1182,2932,756,387,6321,534,1762,18941
"07/05/2020 11:00",1471,1851,804,1300,1294,3158,789,425,6569,542,1847,20050
"07/05/2020 12:00",1513,1924,857,1396,1408,3325,820,459,6819,547,1932,21000
"07/05/2020 13:00",1566,1981,894,1467,1488,3509,831,470,6998,554,2007,21765
"07/05/2020 14:00",1634,2051,913,1520,1513,3658,845,475,7175,557,2087,22428
"07/05/2020 15:00",1676,2134,954,1573,1581,3769,868,478,7294,564,2157,23048
"07/05/2020 16:00",1742,2195,970,1641,1640,3855,894,486,7337,590,2213,23563
"07/05/2020 17:00",1799,2259,976,1679,1665,3850,934,498,7324,595,2245,23824
"07/05/2020 18:00",1791,2269,966,1665,1672,3824,941,491,7290,597,2195,23701
"07/05/2020 19:00",1775,2220,943,1623,1618,3621,929,479,7095,611,2147,23061
"07/05/2020 20:00",1744,2143,926,1541,1547,3462,914,464,7096,596,2053,22486
