Load,Time Stamp
1111.3,2018-09-11 00:00:00
1077.4,2018-09-11 01:00:00
1064.2,2018-09-11 02:00:00
1077.1,2018-09-11 03:00:00
1101.2,2018-09-11 04:00:00
1158.5,2018-09-11 05:00:00
1288.8,2018-09-11 06:00:00
1368.1,2018-09-11 07:00:00
1397.1,2018-09-11 08:00:00
1427.1,2018-09-11 09:00:00
1453.3,2018-09-11 10:00:00
1443.1,2018-09-11 11:00:00
1405.2,2018-09-11 12:00:00
1395.5,2018-09-11 13:00:00
1403.4,2018-09-11 14:00:00
1429.2,2018-09-11 15:00:00
1440.1,2018-09-11 16:00:00
1468.9,2018-09-11 17:00:00
1515.1,2018-09-11 18:00:00
1561.5,2018-09-11 19:00:00
1536.0,2018-09-11 20:00:00
1452.7,2018-09-11 21:00:00
1339.2,2018-09-11 22:00:00
1246.0,2018-09-11 23:00:00
