"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"01/07/2018 00:00",1565,2011,716,1069,1247,2449,914,375,6103,659,1779,18887
"01/07/2018 01:00",1528,1956,689,1035,1209,2346,882,358,5888,655,1735,18281
"01/07/2018 02:00",1512,1935,672,1014,1190,2286,868,351,5728,654,1707,17917
"01/07/2018 03:00",1511,1927,664,1008,1182,2260,866,350,5639,656,1690,17753
"01/07/2018 04:00",1526,1935,665,1016,1188,2267,876,353,5612,658,1686,17782
"01/07/2018 05:00",1552,1969,677,1035,1206,2294,899,362,5648,663,1700,18005
"01/07/2018 06:00",1604,2040,699,1072,1237,2351,938,377,5728,674,1741,18461
"01/07/2018 07:00",1646,2111,723,1116,1267,2400,983,388,5819,682,1785,18920
"01/07/2018 08:00",1689,2174,743,1146,1297,2456,1031,397,6000,688,1809,19430
"01/07/2018 09:00",1780,2222,773,1182,1336,2551,1124,407,6193,696,1856,20120
"01/07/2018 10:00",1782,2220,789,1188,1333,2561,1125,412,6392,695,1862,20359
"01/07/2018 11:00",1768,2204,787,1184,1323,2556,1106,408,6502,690,1857,20385
"01/07/2018 12:00",1742,2175,782,1175,1312,2548,1084,404,6538,682,1847,20289
"01/07/2018 13:00",1718,2141,776,1167,1304,2550,1062,400,6560,678,1835,20191
"01/07/2018 14:00",1706,2108,766,1161,1311,2584,1043,397,6565,671,1828,20140
"01/07/2018 15:00",1712,2110,770,1169,1332,2655,1039,401,6611,667,1829,20295
"01/07/2018 16:00",1782,2189,796,1214,1398,2803,1074,423,6721,673,1875,20948
"01/07/2018 17:00",1881,2367,847,1319,1504,3063,1132,467,7010,683,1993,22266
"01/07/2018 18:00",1881,2397,852,1332,1520,3088,1139,486,7093,682,2019,22489
"01/07/2018 19:00",1856,2355,844,1299,1494,3028,1121,482,7043,677,1993,22192
"01/07/2018 20:00",1814,2281,831,1260,1454,2951,1090,469,6921,670,1961,21702
"01/07/2018 21:00",1740,2164,808,1194,1385,2821,1037,444,6713,660,1902,20868
"01/07/2018 22:00",1656,2037,763,1118,1307,2652,979,410,6422,647,1823,19814
"01/07/2018 23:00",1573,1932,714,1049,1230,2462,925,375,6061,636,1738,18695
"01/08/2018 00:00",1466,1845,665,997,1148,2259,845,341,5707,618,1672,17563
"01/08/2018 01:00",1429,1798,640,969,1111,2167,817,327,5497,610,1643,17008
"01/08/2018 02:00",1415,1777,630,954,1096,2114,807,324,5362,607,1630,16716
"01/08/2018 03:00",1416,1775,624,954,1094,2099,808,323,5310,606,1623,16632
"01/08/2018 04:00",1443,1818,632,980,1110,2133,826,331,5355,609,1644,16881
"01/08/2018 05:00",1521,1936,671,1054,1166,2255,882,356,5613,622,1708,17784
"01/08/2018 06:00",1664,2142,743,1169,1262,2497,978,398,6123,644,1832,19452
"01/08/2018 07:00",1741,2267,805,1250,1328,2668,1038,428,6663,656,1933,20777
"01/08/2018 08:00",1731,2264,813,1255,1346,2692,1049,431,6979,652,1941,21153
"01/08/2018 09:00",1766,2265,827,1266,1368,2716,1091,421,7179,650,1973,21522
"01/08/2018 10:00",1757,2265,832,1271,1365,2712,1089,418,7271,648,1986,21614
"01/08/2018 11:00",1741,2249,825,1267,1352,2684,1074,412,7284,644,1981,21513
"01/08/2018 12:00",1722,2223,818,1258,1337,2636,1056,406,7259,639,1965,21319
"01/08/2018 13:00",1706,2213,815,1253,1332,2626,1048,404,7246,633,1964,21240
"01/08/2018 14:00",1690,2185,813,1240,1330,2627,1035,404,7215,628,1950,21117
"01/08/2018 15:00",1688,2177,822,1240,1342,2684,1029,412,7251,626,1940,21211
"01/08/2018 16:00",1746,2236,846,1269,1397,2843,1058,439,7364,636,1965,21799
"01/08/2018 17:00",1813,2355,884,1342,1483,3063,1098,481,7536,647,2041,22743
"01/08/2018 18:00",1797,2351,884,1340,1485,3080,1094,498,7408,644,2047,22628
"01/08/2018 19:00",1758,2301,865,1309,1453,3009,1066,490,7223,638,2019,22131
"01/08/2018 20:00",1706,2219,832,1267,1404,2908,1029,467,6992,628,1981,21433
"01/08/2018 21:00",1621,2086,785,1197,1326,2743,974,431,6696,612,1924,20395
"01/08/2018 22:00",1519,1938,722,1112,1228,2517,908,384,6296,595,1836,19055
"01/08/2018 23:00",1425,1813,660,1039,1134,2281,846,341,5813,583,1739,17674
"01/09/2018 00:00",1320,1709,602,973,1039,2057,771,303,5342,549,1649,16314
"01/09/2018 01:00",1283,1662,578,943,997,1965,747,290,5103,540,1610,15718
"01/09/2018 02:00",1269,1635,566,927,979,1913,738,287,4964,537,1593,15408
"01/09/2018 03:00",1271,1635,560,929,976,1899,738,287,4908,538,1587,15328
"01/09/2018 04:00",1300,1683,568,959,993,1935,759,293,4943,544,1610,15587
"01/09/2018 05:00",1381,1811,603,1036,1053,2062,817,317,5192,563,1683,16518
"01/09/2018 06:00",1535,2027,676,1160,1164,2305,917,357,5712,594,1823,18270
"01/09/2018 07:00",1610,2147,738,1244,1227,2468,973,382,6235,610,1929,19563
"01/09/2018 08:00",1592,2139,739,1247,1224,2464,977,380,6514,609,1932,19817
"01/09/2018 09:00",1635,2142,746,1257,1239,2463,1013,378,6683,611,1959,20126
"01/09/2018 10:00",1621,2140,753,1255,1229,2438,1010,374,6733,610,1966,20129
"01/09/2018 11:00",1615,2128,748,1247,1224,2431,1001,366,6754,607,1959,20080
"01/09/2018 12:00",1600,2110,743,1238,1205,2417,984,359,6750,605,1939,19950
"01/09/2018 13:00",1590,2104,739,1233,1199,2409,981,355,6750,602,1940,19902
"01/09/2018 14:00",1580,2088,737,1217,1204,2434,973,355,6731,600,1928,19847
"01/09/2018 15:00",1589,2087,748,1216,1220,2498,972,362,6777,600,1913,19982
"01/09/2018 16:00",1656,2147,777,1247,1291,2658,1005,386,6897,615,1939,20618
"01/09/2018 17:00",1735,2277,818,1324,1400,2893,1056,425,7106,632,2030,21696
"01/09/2018 18:00",1734,2297,824,1333,1422,2931,1064,442,7029,634,2056,21766
"01/09/2018 19:00",1711,2270,814,1310,1406,2882,1050,438,6886,631,2031,21429
"01/09/2018 20:00",1680,2216,791,1281,1376,2804,1024,422,6712,624,2001,20931
"01/09/2018 21:00",1612,2107,754,1218,1313,2661,980,395,6473,608,1949,20070
"01/09/2018 22:00",1515,1971,698,1132,1220,2453,923,359,6126,592,1860,18849
"01/09/2018 23:00",1426,1858,643,1059,1129,2236,867,326,5699,580,1764,17587
"01/10/2018 00:00",1314,1751,592,995,1041,2031,777,294,5271,549,1669,16284
"01/10/2018 01:00",1283,1707,570,966,1005,1949,753,284,5045,542,1634,15738
"01/10/2018 02:00",1276,1685,559,951,993,1905,748,282,4916,541,1616,15472
