Load,Time Stamp
21489.4,2019-07-31 00:00:00
20376.300000000003,2019-07-31 01:00:00
19557.2,2019-07-31 02:00:00
19039.6,2019-07-31 03:00:00
18931.199999999997,2019-07-31 04:00:00
19471.8,2019-07-31 05:00:00
20615.6,2019-07-31 06:00:00
22155.699999999997,2019-07-31 07:00:00
23351.0,2019-07-31 08:00:00
24432.500000000004,2019-07-31 09:00:00
25493.6,2019-07-31 10:00:00
26352.300000000003,2019-07-31 11:00:00
27027.4,2019-07-31 12:00:00
27612.0,2019-07-31 13:00:00
27713.500000000004,2019-07-31 14:00:00
27195.7,2019-07-31 15:00:00
26778.000000000004,2019-07-31 16:00:00
26250.600000000002,2019-07-31 17:00:00
25494.1,2019-07-31 18:00:00
24725.9,2019-07-31 19:00:00
24166.5,2019-07-31 20:00:00
23435.5,2019-07-31 21:00:00
21988.2,2019-07-31 22:00:00
20351.9,2019-07-31 23:00:00
