Load Forecast,Time Stamp
1552,2018-08-31 00:00:00
1478,2018-08-31 01:00:00
1431,2018-08-31 02:00:00
1408,2018-08-31 03:00:00
1423,2018-08-31 04:00:00
1508,2018-08-31 05:00:00
1659,2018-08-31 06:00:00
1769,2018-08-31 07:00:00
1847,2018-08-31 08:00:00
1917,2018-08-31 09:00:00
1983,2018-08-31 10:00:00
2028,2018-08-31 11:00:00
2054,2018-08-31 12:00:00
2088,2018-08-31 13:00:00
2101,2018-08-31 14:00:00
2102,2018-08-31 15:00:00
2102,2018-08-31 16:00:00
2084,2018-08-31 17:00:00
2041,2018-08-31 18:00:00
2004,2018-08-31 19:00:00
2011,2018-08-31 20:00:00
1925,2018-08-31 21:00:00
1790,2018-08-31 22:00:00
1654,2018-08-31 23:00:00
1612,2018-09-01 00:00:00
1539,2018-09-01 01:00:00
1483,2018-09-01 02:00:00
1448,2018-09-01 03:00:00
1437,2018-09-01 04:00:00
1463,2018-09-01 05:00:00
1508,2018-09-01 06:00:00
1583,2018-09-01 07:00:00
1715,2018-09-01 08:00:00
1830,2018-09-01 09:00:00
1915,2018-09-01 10:00:00
1969,2018-09-01 11:00:00
2005,2018-09-01 12:00:00
2033,2018-09-01 13:00:00
2054,2018-09-01 14:00:00
2076,2018-09-01 15:00:00
2099,2018-09-01 16:00:00
2106,2018-09-01 17:00:00
2075,2018-09-01 18:00:00
2046,2018-09-01 19:00:00
2056,2018-09-01 20:00:00
1974,2018-09-01 21:00:00
1845,2018-09-01 22:00:00
1721,2018-09-01 23:00:00
1699,2018-09-02 00:00:00
1627,2018-09-02 01:00:00
1572,2018-09-02 02:00:00
1536,2018-09-02 03:00:00
1516,2018-09-02 04:00:00
1517,2018-09-02 05:00:00
1531,2018-09-02 06:00:00
1593,2018-09-02 07:00:00
1739,2018-09-02 08:00:00
1875,2018-09-02 09:00:00
1978,2018-09-02 10:00:00
2058,2018-09-02 11:00:00
2117,2018-09-02 12:00:00
2154,2018-09-02 13:00:00
2178,2018-09-02 14:00:00
2211,2018-09-02 15:00:00
2244,2018-09-02 16:00:00
2264,2018-09-02 17:00:00
2240,2018-09-02 18:00:00
2217,2018-09-02 19:00:00
2215,2018-09-02 20:00:00
2107,2018-09-02 21:00:00
1959,2018-09-02 22:00:00
1822,2018-09-02 23:00:00
1734,2018-09-03 00:00:00
1653,2018-09-03 01:00:00
1591,2018-09-03 02:00:00
1554,2018-09-03 03:00:00
1546,2018-09-03 04:00:00
1572,2018-09-03 05:00:00
1625,2018-09-03 06:00:00
1685,2018-09-03 07:00:00
1815,2018-09-03 08:00:00
1958,2018-09-03 09:00:00
2091,2018-09-03 10:00:00
2192,2018-09-03 11:00:00
2262,2018-09-03 12:00:00
2305,2018-09-03 13:00:00
2322,2018-09-03 14:00:00
2354,2018-09-03 15:00:00
2375,2018-09-03 16:00:00
2370,2018-09-03 17:00:00
2320,2018-09-03 18:00:00
2291,2018-09-03 19:00:00
2296,2018-09-03 20:00:00
2166,2018-09-03 21:00:00
1988,2018-09-03 22:00:00
1834,2018-09-03 23:00:00
1816,2018-09-04 00:00:00
1742,2018-09-04 01:00:00
1677,2018-09-04 02:00:00
1643,2018-09-04 03:00:00
1654,2018-09-04 04:00:00
1740,2018-09-04 05:00:00
1910,2018-09-04 06:00:00
2048,2018-09-04 07:00:00
2164,2018-09-04 08:00:00
2280,2018-09-04 09:00:00
2398,2018-09-04 10:00:00
2492,2018-09-04 11:00:00
2566,2018-09-04 12:00:00
2635,2018-09-04 13:00:00
2672,2018-09-04 14:00:00
2683,2018-09-04 15:00:00
2687,2018-09-04 16:00:00
2664,2018-09-04 17:00:00
2606,2018-09-04 18:00:00
2556,2018-09-04 19:00:00
2521,2018-09-04 20:00:00
2374,2018-09-04 21:00:00
2176,2018-09-04 22:00:00
1987,2018-09-04 23:00:00
1824,2018-09-05 00:00:00
1737,2018-09-05 01:00:00
1674,2018-09-05 02:00:00
1639,2018-09-05 03:00:00
1647,2018-09-05 04:00:00
1732,2018-09-05 05:00:00
1896,2018-09-05 06:00:00
2023,2018-09-05 07:00:00
2129,2018-09-05 08:00:00
2233,2018-09-05 09:00:00
2337,2018-09-05 10:00:00
2419,2018-09-05 11:00:00
2483,2018-09-05 12:00:00
2542,2018-09-05 13:00:00
2569,2018-09-05 14:00:00
2575,2018-09-05 15:00:00
2571,2018-09-05 16:00:00
2545,2018-09-05 17:00:00
2487,2018-09-05 18:00:00
2446,2018-09-05 19:00:00
2418,2018-09-05 20:00:00
2279,2018-09-05 21:00:00
2091,2018-09-05 22:00:00
1920,2018-09-05 23:00:00
