Load,Time Stamp
656.5112,2021-01-20 00:00:00
649.869,2021-01-20 01:00:00
646.12,2021-01-20 02:00:00
646.2012,2021-01-20 03:00:00
653.9607,2021-01-20 04:00:00
666.7909,2021-01-20 05:00:00
684.4325,2021-01-20 06:00:00
698.9328,2021-01-20 07:00:00
701.8461,2021-01-20 08:00:00
699.1687,2021-01-20 09:00:00
694.9266,2021-01-20 10:00:00
689.8561,2021-01-20 11:00:00
688.3931,2021-01-20 12:00:00
697.2717,2021-01-20 13:00:00
702.1809,2021-01-20 14:00:00
706.1997,2021-01-20 15:00:00
718.8686,2021-01-20 16:00:00
728.8178,2021-01-20 17:00:00
731.6903,2021-01-20 18:00:00
724.7405,2021-01-20 19:00:00
717.1526,2021-01-20 20:00:00
699.7405,2021-01-20 21:00:00
701.8264,2021-01-20 22:00:00
693.2458,2021-01-20 23:00:00
