Forecast Date,Vintage Date,Vintage,Station ID,Max Temp,Min Temp,Max Wet Bulb,Min Wet Bulb,                                                                                                              
01/18/2020,01/17/2020,Actual,PLB,10,-3,9,-4                                                                                                                                                             
01/18/2020,01/17/2020,Actual,POU,31,14,25,11                                                                                                                                                            
01/18/2020,01/17/2020,Actual,ROC,18,10,16,9                                                                                                                                                             
01/18/2020,01/17/2020,Actual,SLK,5,-15,4,-15                                                                                                                                                            
01/18/2020,01/17/2020,Actual,SWF,28,14,24,12                                                                                                                                                            
01/18/2020,01/17/2020,Actual,SYR,19,6,17,5                                                                                                                                                              
01/18/2020,01/17/2020,Actual,UCA,15,2,13,1                                                                                                                                                              
01/18/2020,01/18/2020,Forecast,ALB,30,11,28,8                                                                                                                                                           
01/18/2020,01/18/2020,Forecast,ART,31,2,29,1                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,BGM,31,6,29,5                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,BUF,39,17,37,15                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,ELM,33,13,32,12                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,ELZ,35,10,33,9                                                                                                                                                           
01/18/2020,01/18/2020,Forecast,FOK,40,14,40,11                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,FRG,42,20,41,15                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,GFL,22,2,22,1                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,HPN,37,16,36,12                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,IAG,37,15,36,14                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,ISP,41,19,41,15                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,ITH,32,6,30,5                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,JFK,41,21,40,16                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,LGA,41,21,39,16                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,MSS,17,-2,16,-3                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,MSV,29,9,28,7                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,NYC,41,19,38,15                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,PLB,20,-3,19,-4                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,POU,34,14,33,11                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,ROC,37,12,35,11                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,SLK,18,-13,17,-14                                                                                                                                                        
01/18/2020,01/18/2020,Forecast,SWF,34,14,32,11                                                                                                                                                          
01/18/2020,01/18/2020,Forecast,SYR,34,8,32,7                                                                                                                                                            
01/18/2020,01/18/2020,Forecast,UCA,29,5,28,4                                                                                                                                                            
01/18/2020,01/19/2020,Forecast,ALB,36,22,32,19                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,ART,34,14,33,13                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,BGM,33,19,31,17                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,BUF,37,20,35,18                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,ELM,34,18,33,17                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,ELZ,34,16,32,15                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,FOK,41,26,40,24                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,FRG,42,30,41,26                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,GFL,33,15,30,14                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,HPN,39,26,37,23                                                                                                                                                          
01/18/2020,01/19/2020,Forecast,IAG,35,18,33,17                                                                                                                                                          
