"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"07/18/2020","07/15/2020","Actual","ALB",86,66,69,63
"07/18/2020","07/15/2020","Actual","ART",83,60,71,59
"07/18/2020","07/15/2020","Actual","BGM",82,60,66,58
"07/18/2020","07/15/2020","Actual","BUF",87,64,69,61
"07/18/2020","07/15/2020","Actual","ELM",88,54,69,54
"07/18/2020","07/15/2020","Actual","ELZ",78,56,66,56
"07/18/2020","07/15/2020","Actual","FOK",75,65,68,64
"07/18/2020","07/15/2020","Actual","FRG",79,70,69,65
"07/18/2020","07/15/2020","Actual","GFL",83,58,67,57
"07/18/2020","07/15/2020","Actual","HPN",80,66,68,64
"07/18/2020","07/15/2020","Actual","IAG",86,61,69,60
"07/18/2020","07/15/2020","Actual","ISP",76,67,70,66
"07/18/2020","07/15/2020","Actual","ITH",86,58,69,58
"07/18/2020","07/15/2020","Actual","JFK",78,70,69,66
"07/18/2020","07/15/2020","Actual","LGA",82,72,69,66
"07/18/2020","07/15/2020","Actual","MSS",80,59,65,57
"07/18/2020","07/15/2020","Actual","MSV",79,57,69,56
"07/18/2020","07/15/2020","Actual","NYC",80,71,69,65
"07/18/2020","07/15/2020","Actual","PLB",78,59,66,57
"07/18/2020","07/15/2020","Actual","POU",82,62,70,61
"07/18/2020","07/15/2020","Actual","ROC",85,61,68,60
"07/18/2020","07/15/2020","Actual","SLK",79,48,63,47
"07/18/2020","07/15/2020","Actual","SWF",81,63,71,63
"07/18/2020","07/15/2020","Actual","SYR",86,63,70,60
"07/18/2020","07/15/2020","Actual","UCA",83,59,69,59
"07/18/2020","07/16/2020","Actual","ALB",79,68,67,63
"07/18/2020","07/16/2020","Actual","ART",80,67,70,64
"07/18/2020","07/16/2020","Actual","BGM",72,64,65,61
"07/18/2020","07/16/2020","Actual","BUF",80,74,72,65
"07/18/2020","07/16/2020","Actual","ELM",76,66,70,62
"07/18/2020","07/16/2020","Actual","ELZ",73,66,68,62
"07/18/2020","07/16/2020","Actual","FOK",73,57,64,56
"07/18/2020","07/16/2020","Actual","FRG",78,70,66,61
"07/18/2020","07/16/2020","Actual","GFL",76,65,67,63
"07/18/2020","07/16/2020","Actual","HPN",75,66,65,60
"07/18/2020","07/16/2020","Actual","IAG",80,69,73,64
"07/18/2020","07/16/2020","Actual","ISP",75,65,66,61
"07/18/2020","07/16/2020","Actual","ITH",73,68,69,64
"07/18/2020","07/16/2020","Actual","JFK",76,69,67,62
"07/18/2020","07/16/2020","Actual","LGA",79,72,66,62
"07/18/2020","07/16/2020","Actual","MSS",87,61,72,58
"07/18/2020","07/16/2020","Actual","MSV",73,64,66,60
"07/18/2020","07/16/2020","Actual","NYC",76,70,66,62
"07/18/2020","07/16/2020","Actual","PLB",78,61,71,59
"07/18/2020","07/16/2020","Actual","POU",78,69,67,62
"07/18/2020","07/16/2020","Actual","ROC",81,71,72,65
"07/18/2020","07/16/2020","Actual","SLK",74,52,65,50
"07/18/2020","07/16/2020","Actual","SWF",77,68,68,62
"07/18/2020","07/16/2020","Actual","SYR",81,70,70,65
"07/18/2020","07/16/2020","Actual","UCA",76,66,68,65
"07/18/2020","07/17/2020","Actual","ALB",81,62,73,59
"07/18/2020","07/17/2020","Actual","ART",80,69,72,64
"07/18/2020","07/17/2020","Actual","BGM",80,64,70,62
"07/18/2020","07/17/2020","Actual","BUF",81,71,73,66
"07/18/2020","07/17/2020","Actual","ELM",87,66,72,63
"07/18/2020","07/17/2020","Actual","ELZ",79,67,68,62
"07/18/2020","07/17/2020","Actual","FOK",76,65,73,61
"07/18/2020","07/17/2020","Actual","FRG",82,70,75,63
"07/18/2020","07/17/2020","Actual","GFL",80,59,72,57
"07/18/2020","07/17/2020","Actual","HPN",81,65,73,59
"07/18/2020","07/17/2020","Actual","IAG",82,69,73,66
"07/18/2020","07/17/2020","Actual","ISP",78,68,76,63
"07/18/2020","07/17/2020","Actual","ITH",82,64,71,63
"07/18/2020","07/17/2020","Actual","JFK",81,69,76,63
"07/18/2020","07/17/2020","Actual","LGA",86,71,75,62
"07/18/2020","07/17/2020","Actual","MSS",86,69,72,66
"07/18/2020","07/17/2020","Actual","MSV",82,60,74,59
"07/18/2020","07/17/2020","Actual","NYC",84,69,75,62
"07/18/2020","07/17/2020","Actual","PLB",81,62,73,60
"07/18/2020","07/17/2020","Actual","POU",84,65,75,61
"07/18/2020","07/17/2020","Actual","ROC",85,70,72,65
"07/18/2020","07/17/2020","Actual","SLK",77,62,68,60
"07/18/2020","07/17/2020","Actual","SWF",82,66,75,62
"07/18/2020","07/17/2020","Actual","SYR",83,71,71,64
"07/18/2020","07/17/2020","Actual","UCA",79,64,70,63
"07/18/2020","07/18/2020","Forecast","ALB",90,61,72,60
"07/18/2020","07/18/2020","Forecast","ART",84,67,72,63
"07/18/2020","07/18/2020","Forecast","BGM",85,63,70,59
"07/18/2020","07/18/2020","Forecast","BUF",85,67,71,63
"07/18/2020","07/18/2020","Forecast","ELM",91,58,72,57
"07/18/2020","07/18/2020","Forecast","ELZ",84,59,70,58
"07/18/2020","07/18/2020","Forecast","FOK",83,67,74,67
"07/18/2020","07/18/2020","Forecast","FRG",89,75,74,71
"07/18/2020","07/18/2020","Forecast","GFL",88,60,71,59
