Load,Time Stamp
2069.7736,2021-02-14 00:00:00
1981.2025,2021-02-14 01:00:00
1926.8449,2021-02-14 02:00:00
1894.3541,2021-02-14 03:00:00
1887.9170000000001,2021-02-14 04:00:00
1912.2186,2021-02-14 05:00:00
1968.184,2021-02-14 06:00:00
2030.7322,2021-02-14 07:00:00
2132.7604,2021-02-14 08:00:00
2219.874,2021-02-14 09:00:00
2283.4192,2021-02-14 10:00:00
2302.2855,2021-02-14 11:00:00
2263.1105,2021-02-14 12:00:00
2215.4408,2021-02-14 13:00:00
2225.9385,2021-02-14 14:00:00
2251.6754,2021-02-14 15:00:00
2321.1898,2021-02-14 16:00:00
2491.4533,2021-02-14 17:00:00
2570.4642,2021-02-14 18:00:00
2497.5437,2021-02-14 19:00:00
2416.6835,2021-02-14 20:00:00
2311.8476,2021-02-14 21:00:00
2182.1699,2021-02-14 22:00:00
2041.6989999999998,2021-02-14 23:00:00
