Load,Time Stamp
1685.8,2020-04-30 00:00:00
1601.6,2020-04-30 01:00:00
1556.0,2020-04-30 02:00:00
1533.8,2020-04-30 03:00:00
1545.8,2020-04-30 04:00:00
1597.9,2020-04-30 05:00:00
1676.7,2020-04-30 06:00:00
1825.6,2020-04-30 07:00:00
1984.1,2020-04-30 08:00:00
2055.9,2020-04-30 09:00:00
2075.9,2020-04-30 10:00:00
2093.0,2020-04-30 11:00:00
2031.5,2020-04-30 12:00:00
1914.0,2020-04-30 13:00:00
1888.5,2020-04-30 14:00:00
1987.8,2020-04-30 15:00:00
2018.2,2020-04-30 16:00:00
2116.4,2020-04-30 17:00:00
2180.2,2020-04-30 18:00:00
2199.6,2020-04-30 19:00:00
2191.9,2020-04-30 20:00:00
2085.7,2020-04-30 21:00:00
1947.4,2020-04-30 22:00:00
1787.2,2020-04-30 23:00:00
