Load,Time Stamp
1102.5,2020-06-06 00:00:00
1047.3,2020-06-06 01:00:00
1004.3,2020-06-06 02:00:00
971.7,2020-06-06 03:00:00
953.7,2020-06-06 04:00:00
949.0,2020-06-06 05:00:00
952.4,2020-06-06 06:00:00
988.7,2020-06-06 07:00:00
1031.9,2020-06-06 08:00:00
1083.1,2020-06-06 09:00:00
1120.6,2020-06-06 10:00:00
1149.8,2020-06-06 11:00:00
1164.8,2020-06-06 12:00:00
1181.1,2020-06-06 13:00:00
1178.7,2020-06-06 14:00:00
1198.3,2020-06-06 15:00:00
1229.7,2020-06-06 16:00:00
1226.7,2020-06-06 17:00:00
1196.5,2020-06-06 18:00:00
1140.4,2020-06-06 19:00:00
1099.0,2020-06-06 20:00:00
1086.7,2020-06-06 21:00:00
1033.1,2020-06-06 22:00:00
961.5,2020-06-06 23:00:00
