Load,Time Stamp
260.9,2019-08-24 00:00:00
217.6,2019-08-24 01:00:00
239.1,2019-08-24 02:00:00
232.2,2019-08-24 03:00:00
223.0,2019-08-24 04:00:00
226.8,2019-08-24 05:00:00
232.1,2019-08-24 06:00:00
244.9,2019-08-24 07:00:00
267.6,2019-08-24 08:00:00
283.4,2019-08-24 09:00:00
293.6,2019-08-24 10:00:00
301.0,2019-08-24 11:00:00
303.9,2019-08-24 12:00:00
308.6,2019-08-24 13:00:00
308.9,2019-08-24 14:00:00
314.7,2019-08-24 15:00:00
319.9,2019-08-24 16:00:00
325.4,2019-08-24 17:00:00
325.1,2019-08-24 18:00:00
316.5,2019-08-24 19:00:00
313.5,2019-08-24 20:00:00
302.1,2019-08-24 21:00:00
287.7,2019-08-24 22:00:00
271.4,2019-08-24 23:00:00
